partisan_lean,State,Congressional District,Killed,Injured,Pop per Sq Mile,National Density Rank,Median Income,Med Income Rank
11,California,1,88,80,30,409,46600,332
-27,Illinois,1,70,203,2750,88,49500,280
11,Texas,2,68,47,2460,95,74100,63
-29,Illinois,2,65,175,650,175,45700,347
5,Ohio,1,59,85,1060,144,53400,224
25,Texas,1,57,37,90,345,45700,348
-22,California,2,54,60,60,385,65200,108
9,Ohio,2,51,90,220,247,52600,232
1,Pennsylvania,1,49,54,9210,25,42700,380
-5,California,3,48,33,120,310,57900,169
